emoji,keywords_ka,keywords_en
👒,ჩალის ქუდი|ქუდი|ბერეტი|ქალის ქუდი|ზაფხულის ქუდი|ზაფხული|პლაჟი|შლაპა,woman’s hat|milliner|lady|hat|womans hat|summer|fashion|milliners|sun|sun hat|straw|straw hat|beach|clothing|womens hat|woman
🎩,ქუდი|ბერეტი|ილუზიონისტი|ფოკუსი|შლაპა|ცილინდრი|მაგია|პატივისცემა|ქუდის საკიდი|ჯენტლმენი|ლიმუზინი|ჯადოქარი|სერიოზული|სვეტსკი,top hat|milliner|hatter|gentleman|hat|magician|illusionists|milliners|monopolies|magicians|conjurers|magic|prestidigitators|coachmen|formal|classy|illusionist|plumes|tophat|aristocrats|floppy|fancy|clothing|top
🎓,უნივერსიტეტი|დიპლომი|სტუდენტი|სწავლა|აკადემიური ქუდი|ჯგუფელი|გამოსაშვები საღამო|გამოსაშვები|განათლება|კეპი|ლექტორი|სტრიტვერი|გამოცდა|სპორტი|ჭკვიანი|მორჩა,graduation cap|chancellor|scholar|college|university|graduation|academics|scholars|expert|mortarboard|degree|intellectuals|smart|academic|cap and gown|dean|diploma|educated|experts|tassels|professor|brilliant|course|learned|seminar|proud|studying|masters|achieving|career|genius|geniuses|professors|smarting|succeeding|graduate|mortar board|master|ballet shoes|congratulations|passing|principal|education|congrats|dance|teachers|accepting|applicants|educator|learning|workshop|workshops|ballerina|brain|hat|candidates|school|cap|class|fees|lesson|mentor|mentors|specialist|specialists|teacher|teaching|celebration|done|clothing|student
🧢,ქუდი|კეპკა|ზამთრის ქუდი|ნოუ ქაფი|ქაფი|ქუდი სპორტული|ქუდის საკიდი|სპორტული ქუდი|ბეისბოლი|რეპი|ჰიპ-ჰოპი|კეპი|რეპერი|ბიჭი|სპორტული,billed cap|hatter|cap|hat|no cap|baseball|baseball cap|sport|rapper|casual|hip hop|rap
🪖,ომი|ჯარი|მუზარადი|სამხედრო ჩაფხუტი|ჯავშანი|ჯარისკაცი|ჩაფხუტი|ტყვია|ჩაფხუტი სამხედრო,military helmet|private|recruit|conscript|guerrilla|partisan|soldier|helmet|army|commanders|soldiers|federations|marines|warring|war|military|chiefs|mariners|armies|commander|marshals|troops|veterans|combatants|dictators|duties|invaders|units|allies|chief|divisions|tanks|alliances|coalitions|air forces|privateers|ally|oppressors|territories|veteran|companies|navies|sentries|pubg|warrior
⛑️,ჩაფხუტი|უსაფრთხოება|ველოსიპედი|სამაშველო ჩაფხუტი|მშენებლობა|წითელი ჯვრის ჩაფხუტი|მაშველი|მაშველის ჩაფხუტი|დახმარება,rescue worker’s helmet|rescue worker helmet|hard hat|construction|safety|rescue helmet|construction hat|firefighter|medic|aid|emergency|first aid|cross|helmet|face|hat|rescue|help
📿,სამაჯური|ყელსაბამი|მძივი|გულსაკიდი|საკითხავი კრიალოსანი|ლოცვა|კრიალოსანი|ბაბუ|რელიგია,prayer beads|necklace|bracelet|jewelry|religion|meditation|convents|nunneries|beads|pray|tasbih|nuns|priests|rosary|clothing|monasteries|monks|prayer
💄,კოსმეტიკა|მაკიაჟი|პომადა|თავის მოვლა|ტუჩსაცხი|სარკე|სარკე ოთახის|სილამაზე|სილამაზის სალონი|ქუსლიანი ფეხსაცმელი|ჩანთა ქალის|ტუჩები|ქალი|სალონი|სასი|გოგო,lipstick|makeup|mirror|makeup artist|ladies|cosmetics|beauty|mascara|nail polish|perfume|slay|high heel|salon|stylist|girly|refined|kiss
💍,ბეჭედი|სამკაული|ნიშნობა|ქორწინება|ქორწილი|ბეჭედი ოქროს|პლატინა|სიყვარული|ვერცხლი|მადლობა|ჯვრისწერა|ალმასი|სიყვარული მარადიული,ring|jeweler|jewelry|diamond|wedding|unions|alliances|marriage|husband|wife|necklace|grooms|fiance|fiancee|fiancé|goldsmith|goldsmiths|vows|jewelers|precious|suitors|wooers|anniversary|nobles|spouses|bracelet|earrings|gemstone|husbands|newlywed|pearl|promises|proposal|spouse|wives|desiring|refined|bonds|jade|love|engaged|couple|delicate|happy anniversary|partnerships|platinum|marry
💎,ალმასი|საყურეები|ბროში|ძვირი|საყურე|ბეჭედი|ყელსაბამი|სამკაული|ზურმუხტი|საფირონი|განძი|ამეთვისტო|მძივი|გულსაბნევი|იშვიათად|ქარვა|ღირებულება|ძვირფასი ქვა|მდიდარი|ბრილიანტი|მარგალიტი|ფლექსი|ჩემო ოქრო|ძვირფასი|ლალი|ნიშნობა|სამაჯური|სიმდიდრე|ბრწყინვალე|ბროწეული|მინა|პლატინა|მაგარი,gem stone|jeweler|diamond|ring|jewelry|gem|necklace|brilliant|lapidary|crystal|earrings|glittering|hard|clear|sparkling|expensive|gemstone|jewelers|lapidaries|polished|precious|refined|goldsmith|goldsmiths|mine|miners|prism|amethyst|emerald|ruby|sapphire|stone|stones|celebrity|flex|tiara|dwarf|glassblower|glassblowers|pure|riches|shatter|transparent|wealth|bracelet|luxury|shining|platinum|rich|glaziers|crystall|jewel|desiring|fortune|glass|glasses|gleaming|gleams|hype|rare
🔇,ხმაგამორთული|ხმადაბალი|ხმის დაწევა|დუმილი|ხმის გათიშვა|მუნჯი|ხმა გამორთულია|ჩუმი|სტფუ|ყურსასმენები|ხმის გამორთვა|ჩუმად|დინამიკი,muted speaker|mute|quiet|silent|volume|silence|sound|no sound|cancelled|stfu|speaker
🔈,დინამიკი|დაბალი ხმა|ხმადაბალი|ხმა,speaker low volume|speaker|sound|volume|audio|quiet|soft
🔉,საშუალო ხმა|დაბალი ხმა|დინამიკი|ხმის დაწევა|ხმა,speaker medium volume|volume|sound|audio|speaker one sound|quiet|speaker|medium
🔊,დინამიკი|ხმა|დინამიკები|ტექნო|ხმაური|კლუბი|აუდიო|ხმამაღალი|ხმამაღლა|ხმის აწევა|ხმაურიანი|მუსიკა|ბას-გიტარა|მაღალი ხმა|რადიო|საკონცერტო დარბაზი|ჭექა-ქუხილი|ხმამაღლამოლაპარაკე|ბასი|ყვირილი,speaker high volume|speaker|volume|loud|sound|noise|sounds|screaming|audio|pulsing|shouting|speaker three sounds|stereo|loud sound|music|thunderstorm|bass|yelling|turn up
📢,მიტინგი|ხმამაღლამოლაპარაკე|დინამიკი|მეგაფონი|პროტესტი|აქცია|განცხადება|გამოსვლა|დემონსტრაცია|პასუხი|რუპორი|ყურადღება|ხმაური|ყვირილი|გამოცხადება|აქტუალური|ხმის გამაძლიერებელი,loudspeaker|highkey|speaker|megaphone|loud|shouting|announcement|public|public address|shout|blasts|volume|noise|yell|alert|attention|copywriters|demonstrators|protesters|yelling|news|hype|campaigners|preachers|announce|activists
📣,რეჟისორი|გულშემატკივარი|მეგაფონი|ტრენერი|მსაჯი|ხმაურიანი|ყვირილი|სტადიონი|ფანი|ხმამაღლამოლაპარაკე|აქცია|აქტივისტი|ხმამაღალი|რუპორი|დინამიკი|სიგნალიზაცია|ჰაიპი,megaphone|herald|crier|evangelist|coach|coaching|director|directors|revolutionaries|activist|activists|advocate|advocates|demonstrators|highkey|pompons|protesters|pursuivant|shout|heralds|campaigners|directing|protest|fan|causes|instructing|instructors|announcement|protester|speaker|loud|event|foremen|mega|shouting|cheer|banners|boss|fans|news|cheering
📯,ფოსტა|საფოსტო საყვირი|საყვირი|რეტრო|საყვირი საფოსტო,postal horn|post|horn|music|brass|mail|news|postal
🔔,ზარი|მაღვიძარა|ეკლესიის ზარები|სასკოლო ზარი|შეტყობინება|ნოტიფიკაცია|სიგნალიზაცია|სკოლა|კედლის საათი|ყურადღება|გაღვიძება,bell|crier|notification|bellringer|follower|subscriber|tolls|sound|churches|ring|alarm clock|alert|brass|alarm|cathedrals|copper|chime
🔕,ზარი გამორთული|დუმილი|გათიშული ზარი|ზარი გამორთულია|არ შემაწუხოთ|გამორთული ზარი|ჩუმად|შეტყობინების გარეშე,bell with slash|mute|silent|notification|no notification|no bell|muted|volume|do not disturb|off|quiet|bell|muted bell|forbidden|shh
🎼,კლასიკური|ოპერა|კლასიკა|სანოტო გასაღები|სიმფონია|ნოტები|მუსიკა|ნოტი|მიკროფონი სადგამით|სალამური|სიმღერა ხალხური|სინთეზატორი|ფლეიტა|სიმღერა|მუსიკალური ნოტი|გრამოფონი|ვიოლინო|მელოდია|სანოტო რვეული,musical score|composer|music|composers|conductor|clef|melody|piano|songwriter|treble clef|harpsichordist|violin|conductors|sing|classical|score|notes|ensembles|opera|orchestras
🎵,მუსიკა|ყურსასმენები|სიმღერა|ტიკტოკი|დინამიკები|თანამედროვე|მელოდია|ნოტები|ნოტი|გრამოფონი|კლიპი|გუნდი|სინთეზატორი|სკებიდი|ფესტივალი|ფირფიტა მუსიკალური|ფორტეპიანო|ყურსასმენები პატარა|ხმა|ნოტა,musical note|music|conductors|song|singers|sound|notes|vibe|sing|melody|lyricists|songwriters|note|producers|headphone|headphones|choirs|pulsing|blues|guitar|piano|singing|vibes|composers
🎶,ფლეიტა|სიმღერა|მუსიკა|ნოტები|ანსამბლი|ნელი|გიტარა|ცეკვა|ვაიბი|მელოდია|ფორტეპიანო|კონცერტი|მხიარული|ფანდური|ჩონგური|იავნანა|ძილისპირული|ჰიმნი|ბას გიტარა|ბულბული|გიტარა აკუსტიკური|ვიოლინო|ოპერა|საყვირი|ფირფიტა|ჯაზი|აკორდეონი|ზუმბა|მიკროფონი ხელის|რადიო მიმღები|საქსოფონი|საყვირი სპილენძის|ყურსასმენი|აუდიოკასეტა|დაირა|დინამიკები|დრამი|ვალსი|კლუბი|მაგნიტოფონი|მუსიკალური ცენტრი|პოპი|ფრინველი,musical notes|harper|piper|drummer|trumpeter|lutenist|music|flutist|song|singers|sing|dance|notes|singing|headphones|guitar|singer|guitarist|pianist|violinist|bassoonist|clarinetist|oboist|dancing|microphone|melody|festival|choirs|phonograph|pop|radio|vibe|sound|concert|musical|accordionist|alto|bagpiper|baritone|bass|cellist|fiddler|horn player|karaoke|keyboardist|soprano|tap dance|tenor|trombonist|tubist|dancers|fusions|gig|skipping|sounds good|listening|record|stan|vinyl|waltz|enjoying|hits|note|vibes
🎙️,მიკროფონი|რადიო|სტუდია|პოდკასტი|მომღერალი|გამოსვლა|სტრიმერი|ხმის ჩაწერა|გადაცემა|კანდიდატი|აუდიო|მიკროფონი სტუდიის|პრესა|სტრიმი|ჩაწერა,studio microphone|microphone|podcast|music|broadcaster|commentators|podcaster|pundits|streaming|studio|journalist|journalists|record|studios|hip hop|speech|voice|radio|studio mic|mic|singers|news|recording|reporter|reporters|conference|hosting|hosts|sing|stream
🎚️,ხმის რეგულატორი|მიქშერი|ხმა|სტუდია|მუსიკა,level slider|music|audio|mixer|fader|level|mixing|volume|slider|dj
🎛️,მართვის პულტი|პულტი|ტემბრი|მართვა|სტუდია|ხმის პულტი|ღილაკები|დიჯეი,control knobs|remote|audio|knobs|levers|controlling|studio|mixer|dj|control|mixing|music
🎤,სიმღერა|მიკროფონი|კონცერტი|პოპი|რეპი|მომღერალი|ანსამბლი|ინტერვიუ|მიკროფონი სადგამით|მიკროფონი ხელის|ჟურნალისტი|რეპერი|სიმღერა ხალხური|ტრიბუნა|კარაოკე|გუნდი|თამადა|თეატრის სცენა|ლექსის წაკითხვა|ოპერა|საკონცერტო დარბაზი|სცენა|ხმა|საოპერო|ჰიპ-ჰოპი|მუსიკოსი,microphone|reporter|journalist|entertainer|performer|troubadour|sing|karaoke|idols|singer|singers|singing|concert|song|bands|stage|cantor|alto|anchor|baritone|bass|choirs|chorister|correspondent|hip hop|host|hosting|hosts|opera|pop|presenter|rap|rapper|reporters|soprano|tenor|vocalist|music|debating|dropping|gig|musical|commentators|headset|presenting|comedian|speaking|autographs|lecture|lecturers|lyricists|once more|mic|choirboy|choirgirl|opera singer|parodies|show|conference|performance|performers|pundits|speech|voice|journalists|songwriters
🎧,ყურსასმენები|მუსიკა|ყურსასმენი|რეპი|ჰიპ-ჰოპი|გეიმერი|სმენა|ყურსასმენები დიდი|ყურსასმენები პატარა|მოსმენა|მუსიკას ვუსმენ|პოდკასტი|კომპიუტერის მაგიდა|კომპიუტერული კლუბი|მოზარდი|სიმღერა,headphone|headphones|music|operator|listening|dj|earbuds|earmuffs|headset|streaming|audio|hip hop|listen|music player|producer|rap|song|teens|gamer|podcaster|gaming|earphones|vibes|joggers|producers|earbud
📻,რადიო|ძველი|მუსიკა|გრამოფონი|მუსიკალური ცენტრი|რადიო მიმღები|აუდიოკასეტა|დინამიკები|მაგნიტოფონი|ფირფიტა მუსიკალური|სიახლეები|ხმის აწევა|ფირფიტა|ძველი დრო|რეტრო,radio|music|news|podcast|cassette|hip hop|music player|phonograph|record|stereo|vinyl|broadcast|retro|broadcaster|receiver|channels|speaker|oldies|fm|studio|studios|video|audio
🎷,საქსოფონი|ჯაზი|თითბერი|მუსიკა|საყვირი|მშვიდი,saxophone|jazz|blues|brass|instrument|music|bands|blasts|orchestras|sax|musicians|jazz dance
🪗,აკორდეონი|მუსიკა|ტრადიცია|გარმონი,accordion|accordionist|harmonica|music|instrument|squeezebox|folklore|concertina|folk|squeeze box|squeeze
🎸,გიტარა|კონცერტი|როკი|მუსიკოსი|ბას გიტარა|ბას-გიტარა|გიტარა აკუსტიკური|გიტარა ელექტრო|დაკვრა|ინსტრუმენტი|საკონცერტო დარბაზი|ფანდური|ჩონგური|მუსიკა|ანდერგრაუნდი|ცეცხლი,guitar|lutenist|minstrel|troubadour|instrument maker|bard|music|rock|bands|guitarist|musicians|concert|gig|musician|acoustic|vagabonds|strings|instrument|blues|country|straps|entertainers|entertaining|songwriters|stage|jammed|hobby|songwriter|metal|wires|band
🎹,პიანინო|ფორტეპიანო|მუსიკოსი|ელექტრონული|სინთეზატორი|ჯაზი|ინსტრუმენტი|მუსიკა|დაკვრა|კლასიკა|კლავიშები,musical keyboard|piano|pianist|musicians|music|composer|harpsichordist|keyboardist|organist|classical|composers|musician|prodigies|synth|grand|instrument|keys|orchestras|songwriters|conservatory|jazz|keyboard
🎺,საყვირი|თითბერი|საყვირი სპილენძის|მუსიკა|ორკესტრი|ჯაზი|ტრიუმფი|ინსტრუმენტი,trumpet|trumpeter|brass|jazz|heralds|horn player|trombonist|tubist|orchestras|instrument|music|parade|marchers|marching|bands|blasts|musician|phonograph|celebrate
🎻,ვიოლინო|კლასიკური|ხალხური|კლასიკა|სევდიანი|კლასიკური მუსიკა|ანსამბლი|მუსიკა|სევდა|სიმფონია|დრამა|ინსტრუმენტი|სიმღერა ხალხური|სიმებიანი,violin|instrument maker|harper|violinist|classical|musicians|instrument|music|cellist|ensembles|fiddler|orchestras|prodigies|strings|classic|conductors|bows|composers|musician|fiddle|classical music|opera|sad|sections|cultured|drama|orchestra
🪕,ბანჯო|ფანდური|ჩონგური|მუსიკა|ქვეყანა|ქანთრი,banjo|music|instrument|country|country music|stringed|string
🥁,დრამი|დოლი|ბარაბანი|ბარაბნები|დაირა|დარტყმა|დასარტყამი|როკი|მუსიკა,drum|drummer|beating|bands|drums|percussionist|music|snare|musicians|marchers|marching|pounding|gig|instrument|hollow|drumsticks|beat|parade|musician|band
🪘,კონგა|დოლი|დასარტყამი|აფრიკული ბარაბანი|ბონგო|აფრიკული დოლი|მუსიკა,long drum|conga|beat|percussion|music|djembe|bongo|drum|instrument|rhythm
🪇,მარაკასი|ჩხაკუნა|მარაკასები|ლათინო|მექსიკა|ფართი|მუსიკა|ლათინური,maracas|music|shake|rattle|instrument|mexico|shaker|latin|percussion
🪈,ფლეიტა|სტვენა|მუსიკა|ინსტრუმენტი,flute|music|instrument|recorder|wind|fife|woodwind|pipe
📱,ტელეფონი|პლანშეტი|ფეისბუქი|გადარიცხვა|სმარტფონი|ტიკტოკი|ზარი|მესიჯი|ინსტაგრამი|პოსტი|სთორი|სილიკონი|სოციალური ქსელი|ტაბლეტი|მობილური|ყურსასმენები|ყურსასმენები პატარა|ჩატი|აიფონი|ეს|სმარტ საათი|ეკრანი|ლაივი|მობილური ტელეფონი|ონლაინ|ტრენდი|დარეკვა,mobile phone|phone|tablet|cellphone|smartphone|call|screen|doomscrolling|scrolling|tapping|text|iphone|cells|scammers|calling|moff|oomf|texting|displaying|selfie|chat|gps|vibrating|telephone|addicts|selecting|teens|cell|mobile|chatting|ghosted|internet|location|locations|lurk|message|music player|network|cases|replying|threads|charger|rectangle
📲,მობილური ისრით|შემომავალი ზარი|ტელეფონი ისრით|ტელეფონი|შემომავალი|ზარი ტელეფონზე|გადარიცხვა|მესიჯი|აპლიკაცია|შეტყობინება|ზარი,mobile phone with arrow|incoming|call|text|mobile with arrow|sharing|phone|incoming call|calling|arrow|phone with arrow|cell|mobile|receive
☎️,ტელეფონი|სახლის ტელეფონი|სტაციონარული|რეტრო ტელეფონი|სახლის|ძველი ტელეფონი|დამირეკე|ზარი|დარეკვა,telephone|phone|call|landline|retro|calling|classic
📞,ზარი|ტელეფონი|ტელეფონის ყურმილი|ყურმილი|დარეკვა|დამირეკე|ვაიბერი|ვოტსაპი|კავშირზე|საუბარი|ალო,telephone receiver|operator|receptionist|phone|call|secretaries|telephone|answering|calling|dispatcher|receptionists|responding|phone receiver|handset|agents|hold on|scammers|receiver|assistant|headset|talking|agent|clients
📟,პეიჯერი|რეტრო|შეტყობინება|წნევის აპარატი|ძველი ტექნიკა,pager|retro|beeper|90s|old school|message|call|old
📠,ფაქსი|ძველი ოფისი|ძველი|აპარატი|ოფისი,fax machine|office|fax|technology|retro|document
🔋,ბატარეა|დამტენი|ელემენტი|ენერგია|მწვანე ენერგია|პაუერბანკი|აკუმულატორი|დამუხტვა|დაღლილი|მზის პანელი|ბორჯომი|ლიკანი|მინერალური წყალი|ნაბეღლავი|ტელეფონის დამტენი|დატენვა|სავსე,battery|energy|power|flashlight|full|resting|reviving|charge|lasting|rest|charger|electricity|strong|robot
🪫,დაცლილი ელემენტი|მკვდარი ელემენტი|მიჯდება|ელემენტი დამჯდარი|დავიცალე|დაღლა|დამჯდარი ელემენტი|ბატარეა|დამუხტვა,low battery|no power|weak|battery|charge|empty|charger|dying|empty battery|die|dead|electronic|tired|no energy|low energy|power
🔌,დამტენი|დენი|უთო|მტვერსასრუტი|დრელი|შტეფსელი|ელექტროენერგია|მიკროტალღური|კაბელი|ბატარეა|გამათბობელი|ნათურა|ყავის აპარატი|ბოძი ელექტრო|გამავრცელებელი|დამაგრძელებელი|მავთული|სპილენძი|ტელეფონის დამტენი|უთო ორთქლის|მიქსერი|ელექტროობა|საკერავი მანქანა|კვება|ნავთობი|პაუერბანკი|ფანარი ხელის|დატენვა|ბლენდერი|ბნელი|დაუთოვება|მზის პანელი|სარეცხი მანქანა|ტოსტერი|შიში სიბნელის,electric plug|plug|battery|cords|wire|electricity|electrician|power|saboteurs|cable|cables|charger|charges|conduits|electricians|iron|ironing board|outlets|wires|currents|radiators|copper|outlet|wifi|heaters|insulators|bulb|electrical engineer|light bulb|ports|electric|blender|ironing|mixer|boilers|ice storm|ice storms|sources|charge
💻,კომპიუტერი|ლეპტოპი|მუშაობა|ფეისბუქი|სამსახური|ოფისი|საიტი|სამუშაო|პლანშეტი|სკანერი|ინტერნეტი|კომპიუტერის მაგიდა|კომპიუტერული თამაში|ონლაინ შოპინგი|პროგრამისტი|საოფისე მაგიდა|ტექნოლოგია|პროექტი|ბოტი|თანამშრომელი|კლავიატურა|მაუსი|ნოუთბუქი|ონლაინ|სკამი გორგოლაჭებზე|ბლოგი|ბლოკჩეინი|გამოთვლა|ვებკამერა|იმეილი|კრიპტო|კრიპტოვალუტა|მომხმარებელი|მონიტორი|როუტერი|სამსახურში ვარ|ფლეშკა|კალკულატორი|მაგიდა|სადილი სამსახურში|სათვალე მხედველობის|სტუდენტი|ფრილანსერი,laptop|editor|technician|operator|computer|working|work|desk|coworker|writers|coding|tablet|clerks|colleagues|coworkers|engineer|secretaries|colleague|employee|mouse|searching|blogger|coded|coder|coders|database|developer|developers|editors|hacker|program|programmer|programmers|desktop|robot|pc|calculator|researchers|clicking|creations|creators|notebook|typists|screen|assistant|editing|internet|keyboard|network|streamer|youtuber|authors|spies|copywriters|engineers|offices|scammers|cloud|employees|secretary|server|writer|analysts|copyists|cyborg|dragging|job|project|projects|sources|streaming|studio|studios|algorithm|download|gears|producer|upload|wifi|designer|designers|designs|reviewers|tech|analyzing|author|battery|drive|essayists|novelists|solving|warranties|office|personal
🖥️,ეკრანი|კომპიუტერი|მონიტორი|ეკრანი დიდი|პერსონალური კომპიუტირი|ექოსკოპია|კომპიუტერული კლუბი|პროგრამისტი,desktop computer|computer|screen|keyboard|desktop|office|laptop|displaying|monitoring|server|monitor|pc|work|typists|affiliates|tech|gaming
🖨️,პრინტერი|სკანერი|ბეჭდვა|კარტრიჯი|კატრიჯი|ქსეროქსი|ოფისი,printer|printers|office|paper|prints|print|computer|document
⌨️,კლავიატურა|ბეჭდვა|კომპიუტერის კლავიატურა|პროგრამისტი|კომპიუტერი|წერა|მაუსი|გეიმინგი|წერ,keyboard|computer|afk|typists|coder|tapping|type|coders|coding|programmers|input|replying|typing|tech|writer|gaming|programmer|text|pc
🖱️,მაუსი|კომპიუტერი|კომპიუტერის მაუსი|კომპიუტერის მაგიდა|კურსორი|კლავიატურა|საიტი|კლიკი,computer mouse|mouse|computer|clicking|three button mouse|click|input|selecting|pc|tech
🖲️,ტრეკბოლი|მაუსი|კომპიუტერი,trackball|computer|input|mouse|tech|cursor|click
💽,მინი დისკი|დისკი|ინფორმაცია|მეხსიერება|ჩანაწერი|მუსიკა,computer disk|minidisc|music|data|retro|computer|disc|disk|tech|minidisk|record|optical
💾,ფლეშკა|ფლოპი დისკი|შენახვა|რეტრო|სეივი|ძველი|დისკეტა,floppy disk|save|saving|floppy|computer|retro|database|download|upload|storing|tech|old school|disk|old
💿,დისკი|პლატინა|სიდი დისკი|ფირფიტა|ფირფიტა მუსიკალური|კომპაქტ დისკი|სი დი დი|მუსიკა|სიდი,optical disk|cd|dvd|platinum|disc|dj|record|vinyl|music|retro|optical disc|disk|computer|song|optical
📀,დისკი|ფირფიტა|დივიდი დისკი|დევედე|მუსიკალური ცენტრი|ფილმი|დევე დე|დივიდი,dvd|cd|disc|movie|disk|video|blu-ray|retro|computer|optical
🧮,კალკულატორი|ალგებრა|მათემატიკა|გამოთვლა|საანგარიშო|აბაკუსი|სორობანი|ძველი|დათვლა,abacus|calculator|math|accountant|counting|factor|history|retro|mathematician|calculation|calculate|count
🎥,ვიდეო|ფილმი|კამერა|კინო|ვიდეოკამერა|კინოკამერა|რეჟისორი|ტიკტოკი|იუთუბი|სტუდია|ტელევიზია|გადაღება|ეკრანი დიდი|კინოთეატრი,movie camera|movie|cinema|video|film|filmmaker|video camera|videographer|camera|cameraman|cinematographer|streaming|youtuber|vlogger|director|hollywood
🎞️,კინოფირი|კინოფირის ზოლი|სლაიდები|ფოტო ნეგატივი|ფირის ზოლი|კინო|ფოტოაპარატი|ისტორია|კინოფირები|ბავშვობის სურათები|მოგონება|ფოტოალბომი|ძველი ფოტოები|ფილმი|კინოფირის კადრები,film frames|film|cinema|film strips|movie|film strip|hollywood|filmmaker|frames
📽️,პროექტორი|ფილმი|კინოფირი|პრეზენტაცია|რეჟისორი|კინო,film projector|projector|cinema|film|movie projector|show|movie|slideshow|video|screen
🎬,რეჟისორი|ფილმი|კინო|მსახიობი|კინოთეატრი|ვიდეო|პროექტორი|სცენარი|კინო კლაპერი|კლიპი|შოუ|სინქრონიზატორი|ეკრანი დიდი|სტოპ კადრი|ტელევიზორი|კლაპერი|ანიმაცია|გადაღება|კინოფირი|სერიალი|სცენა|აქცია|კინოს კლაპერი,clapper board|director|movie|cinema|show|directors|filmmaker|producer|film|theater|popcorn|actor|actress|casts|directing|editing|producers|scene|screenwriter|taking|watching|actors|actresses|act|clips|main character|theatre|clapper|effects|nominees|playwrights|showing|cinematographer|dramatists|projector|television|musical|stories|action|series|video|video camera|videographer|crews
📺,ტელევიზორი|სერიალი|ეკრანი|იუთუბი|ტელევიზია|ახალი ამბები|ანტენა|გადაცემა|ტელევიზორის პულტი|ვიდეოკასეტა|მეინსტრიმი|მისაღები|პროექტორი|სავარძელი რბილი|ფილმი|ყურება|ძველი დრო|ბატიბუტი|დივანი დიდი|კონსოლი|პულტი|სლაიდები|ტახტი|შოუ|ტელე|გამოსასვლელი დღე|ოთახი|პროგნოზი|ძველი|ვიდეო,television|reporter|show|tv|channels|screen|watching|cartoons|series|video|streaming|movie|flickering|news|reporters|showing|prime|program|living room|remote|pundits|anchor|commentators|console|couch|presenter|sofa|plasma|cinema|meteorologists|broadcaster|popcorn|retro|drama|parodies|satires|chill|film|watch
📷,კამერა|ფოტოაპარატი|ფოტო|ფოტოგრაფი|ვებკამერა|ობიექტივი|ძველი ფოტოები|სურათი|ალბომის ფურცვლა|ახალგაზრდობის ფოტოები|ბავშვობის სურათები|მოგონება|ფოტო ნეგატივი|ფოტოალბომი|ჩარჩო|აპარატი|ფოტოკამერა|ძვირფასი მოგონება,camera|photo|picture|photographer|tourist|lens|photography|caught in 4k|shoot|enthusiasts|studio|studios|image|instagram|shot|video|snap
📸,ფოტო|ტურისტი|ინსტაგრამი|კამერა|სურათი|სთორი|ფოტოგრაფი|ექსკურსია|კამერა განათებით|ტურიზმი|ფოტოგრაფია|მოდელი|ფოტოაპარატი|კამერა ციმციმით|პაპარაცი|ინფლუენსერი|გამოფენა|ვიზუალი|მიმი|სარკე|სარკე დიდი|ფოტოკამერა განათებით|ფლეში,camera with flash|camera|photo|picture|tourists|photographer|caught in 4k|celebrity|influencer|sightseeing|sightseers|flash|exposing|selfie|flashes|image|model|shutter|snapping|clout|flex|lens|photography|excursionists|taking|camera flash|clicking|paparazzi|scene|touring|autographs|journalist|journalists|shot|gallery|reporter|reporters|snap|video
📹,ვიდეო|ვიდეოკამერა|პროექტორი|ლაივი|კამერა|ჩაწერა|გადაღება,video camera|video|camera|videographer|record|movie|vlogging|camcorder|cameraman|film
📼,ვიდეოკასეტა|აუდიოკასეტა|მაგნიტოფონი|ვიდეო|რეტრო|კასეტა|ვიდეო კასეტა|90-იანები|ფილმი,videocassette|vhs|tape|tapes|movie|retro|videotape|cassette|90s|core|video
🔍,ლუპა|ახლოს|გამადიდებელი შუშა მარცხნივ|ძებნა|გადიდება|ობიექტივი|ლუპა მარცხნივ|სერჩი|მოძებნა,magnifying glass tilted left|finding|searching|seeking|magnifying glass|lens|search|detectives|clues|inspecting|zoom|examining|looking|peering|find|hints|investigators|sleuths|mag|curios|lapidaries|search left|archivists|jeweler|jewelers|rarely|watchmaker|glass|detective|clockmaker|magnifying glass left|traces|geologist|geologists|missing|oddities|researchers|tracing|magnifying|tool
🔎,ლუპა|გამადიდებელი შუშა მარჯვნივ|ლუპა მარჯვნივ|ძებნა|დეტექტივი|სათვალეები|სერჩი|მოძებნა,magnifying glass tilted right|finding|seeking|searching|search|magnifying glass|detectives|clues|lens|find|zoom|looking|glass|mag right|search right|investigators|sleuths|magnifying|hints|magnifying glass right|tool
🕯️,სანთელი|ლოცვა|ასანთი|ეკლესია|შუქი|ნელი|რომანტიკული|იმედები|იმედი|ლიტანიობა|მიცვალებული|ორმოცი|პარაფინი|სულის მოხსენიება|წლისთავი|ხსოვნა|პაემანი|ვახშამი|ნათელი დაადგეს|რომანტიკა|ქელეხი|ცვილი|ლამპა|განათება|ნავთი|სასაფლაო|საღამო|წირვა|ცეცხლი,candle|light|fire|match|flickering|gaslight|hoping|shadow|dim|lamp|offerings|translucent|wishing|rip|wax|hope|torch|ghost|hermits|romantic|soul|souls|glowing|church|phantoms|specter|specters|synagogues|tributes|sages|scribes|glimmers|meditation|necromancers|relics|sacrifices|shadows|soothing|convents|faith|hermitages|lighter|matches|nunneries|apparitions|ghosts|glows|nuns|widowers|widows|cozy|dark|dungeons|mourning|shrines|spirit|spirits|magic
